TEMP K,LIQUID RHOMX kmol/cum,LIQUID CPMX kJ/kmol-K,LIQUID MUMX cP,LIQUID HMX kJ/kmol,LIQUID TBUB K,LIQUID KMX kW/m-K,Composition
328.15,53.087,73.9356,0.863609,-285806.0,365.705,0.000656749,0.1
329.15,53.0616,73.9421,0.848185,-285732.0,365.705,0.000657737,0.1
330.15,53.036,73.9488,0.833171,-285658.0,365.705,0.000658712,0.1
331.15,53.01,73.9558,0.818552,-285584.0,365.705,0.000659675,0.1
332.15,52.9837,73.963,0.804316,-285510.0,365.705,0.000660626,0.1
333.15,52.9571,73.9705,0.79045,-285436.0,365.705,0.000661565,0.1
334.15,52.9302,73.9782,0.776944,-285362.0,365.705,0.000662492,0.1
335.15,52.903,73.9862,0.763785,-285288.0,365.705,0.000663407,0.1
336.15,52.8755,73.9945,0.750961,-285214.0,365.705,0.000664309,0.1
337.15,52.8477,74.003,0.738464,-285140.0,365.705,0.0006652,0.1
338.15,52.8197,74.0118,0.726282,-285066.0,365.705,0.000666079,0.1
339.15,52.7913,74.0208,0.714406,-284992.0,365.705,0.000666945,0.1
340.15,52.7627,74.0302,0.702825,-284918.0,365.705,0.0006678,0.1
341.15,52.7337,74.0397,0.691532,-284844.0,365.705,0.000668642,0.1
342.15,52.7045,74.0496,0.680517,-284770.0,365.705,0.000669473,0.1
343.15,52.675,74.0598,0.669772,-284696.0,365.705,0.000670292,0.1
344.15,52.6453,74.0703,0.659288,-284622.0,365.705,0.000671098,0.1
345.15,52.6152,74.081,0.649058,-284548.0,365.705,0.000671893,0.1
346.15,52.5849,74.092,0.639073,-284474.0,365.705,0.000672676,0.1
347.15,52.5543,74.1034,0.629328,-284400.0,365.705,0.000673447,0.1
348.15,52.5235,74.1151,0.619814,-284325.0,365.705,0.000674207,0.1
349.15,52.4923,74.1271,0.610525,-284251.0,365.705,0.000674954,0.1
350.15,52.461,74.1394,0.601454,-284177.0,365.705,0.00067569,0.1
351.15,52.4293,74.152,0.592594,-284103.0,365.705,0.000676413,0.1
352.15,52.3974,74.165,0.583941,-284029.0,365.705,0.000677125,0.1
353.15,52.3653,74.1783,0.575487,-283955.0,365.705,0.000677826,0.1
354.15,52.3329,74.192,0.567227,-283881.0,365.705,0.000678514,0.1
355.15,52.3002,74.206,0.559155,-283806.0,365.705,0.000679191,0.1
356.15,52.2673,74.2204,0.551267,-283732.0,365.705,0.000679856,0.1
357.15,52.2341,74.2351,0.543557,-283658.0,365.705,0.000680509,0.1
358.15,52.2007,74.2502,0.536019,-283584.0,365.705,0.000681151,0.1
359.15,52.1671,74.2657,0.528649,-283509.0,365.705,0.000681781,0.1
360.15,52.1332,74.2815,0.521443,-283435.0,365.705,0.000682399,0.1
361.15,52.099,74.2977,0.514396,-283361.0,365.705,0.000683006,0.1
